ShilohScott Station,College Station,Belleville Station,Swansea Station,Memorial Hospital Station,Fairview Heights Station,Washington Park Station,JJK Center Station,Emerson Park Station,5th & Missouri Station,East Riverfront Station,Laclede's Landing Station,Convention Center Station,8th & Pine Station,Stadium Station,Civic Center Station,Union Station,Grand Station,Cortex Station,Central West End Station,Forest ParkDeBaliviere Station,Skinker Station,University CityBig Bend Station,Forsyth Station,Clayton Station,Richmond Heights Station,Brentwood I64 Station,MaplewoodManchester Station,Sunnen Station,ShrewsburyLansdowne I44 Station,Delmar Loop Station,Wellston Station,Rock Road Station,UMSL South Station,UMSL North Station,North Hanley Station,Lambert Airport Terminal # 2,Lambert Airport Terminal # 1
10:23AR,10:28AR,10:33AR,10:35AR,10:39AR,10:43AR,10:48AR,10:51AR,10:53AR,10:56AR,10:59AR,11:00AR,11:01AR,11:03AR,11:04AR,11:06AR,11:07AR,11:11AR,11:13AR,11:15AR,11:18AR,,,,,,,,,,11:21AR,11:23AR,11:25AR,11:27AR,11:29AR,11:31AR,11:36AR,11:38AR
,,,,,10:52AB,10:57AB,11:00AB,11:02AB,11:05AB,11:08AB,11:09AB,11:10AB,11:12AB,11:13AB,11:15AB,11:16AB,11:20AB,11:22AB,11:24AB,11:27AB,11:31AB,11:34AB,11:37AB,11:38AB,11:40AB,11:42AB,11:44AB,11:45AB,11:48AB,,,,,,,,
10:43AR,10:48AR,10:53AR,10:55AR,10:59AR,11:03AR,11:08AR,11:11AR,11:13AR,11:16AR,11:19AR,11:20AR,11:21AR,11:23AR,11:24AR,11:26AR,11:27AR,11:31AR,11:33AR,11:35AR,11:38AR,,,,,,,,,,11:41AR,11:43AR,11:45AR,11:47AR,11:49AR,11:51AR,11:56AR,11:58AR
,,,,,11:12AB,11:17AB,11:20AB,11:22AB,11:25AB,11:28AB,11:29AB,11:30AB,11:32AB,11:33AB,11:35AB,11:36AB,11:40AB,11:42AB,11:44AB,11:47AB,11:51AB,11:54AB,11:57AB,11:58AB,12:00PB,12:02PB,12:04PB,12:05PB,12:08PB,,,,,,,,
11:03AR,11:08AR,11:13AR,11:15AR,11:19AR,11:23AR,11:28AR,11:31AR,11:33AR,11:36AR,11:39AR,11:40AR,11:41AR,11:43AR,11:44AR,11:46AR,11:47AR,11:51AR,11:53AR,11:55AR,11:58AR,,,,,,,,,,12:01PR,12:03PR,12:05PR,12:07PR,12:09PR,12:11PR,12:16PR,12:18PR
,,,,,11:32AB,11:37AB,11:40AB,11:42AB,11:45AB,11:48AB,11:49AB,11:50AB,11:52AB,11:53AB,11:55AB,11:56AB,12:00PB,12:02PB,12:04PB,12:07PB,12:11PB,12:14PB,12:17PB,12:18PB,12:20PB,12:22PB,12:24PB,12:25PB,12:28PB,,,,,,,,
11:23AR,11:28AR,11:33AR,11:35AR,11:39AR,11:43AR,11:48AR,11:51AR,11:53AR,11:56AR,11:59AR,12:00PR,12:01PR,12:03PR,12:04PR,12:06PR,12:07PR,12:11PR,12:13PR,12:15PR,12:18PR,,,,,,,,,,12:21PR,12:23PR,12:25PR,12:27PR,12:29PR,12:31PR,12:36PR,12:38PR
,,,,,11:52AB,11:57AB,12:00PB,12:02PB,12:05PB,12:08PB,12:09PB,12:10PB,12:12PB,12:13PB,12:15PB,12:16PB,12:20PB,12:22PB,12:24PB,12:27PB,12:31PB,12:34PB,12:37PB,12:38PB,12:40PB,12:42PB,12:44PB,12:45PB,12:48PB,,,,,,,,
11:43AR,11:48AR,11:53AR,11:55AR,11:59AR,12:03PR,12:08PR,12:11PR,12:13PR,12:16PR,12:19PR,12:20PR,12:21PR,12:23PR,12:24PR,12:26PR,12:27PR,12:31PR,12:33PR,12:35PR,12:38PR,,,,,,,,,,12:41PR,12:43PR,12:45PR,12:47PR,12:49PR,12:51PR,12:56PR,12:58PR
,,,,,12:12PB,12:17PB,12:20PB,12:22PB,12:25PB,12:28PB,12:29PB,12:30PB,12:32PB,12:33PB,12:35PB,12:36PB,12:40PB,12:42PB,12:44PB,12:47PB,12:51PB,12:54PB,12:57PB,12:58PB,1:00PB,1:02PB,1:04PB,1:05PB,1:08PB,,,,,,,,
